CategoryName,CategoryCode
Oil,oil
Gas,gas
Hotel,hot
Telecommunication,tel
Bank,ban
Mining,min
Housing,hou
Automobile,aut
Insurance,ins
Leasing,lea
Tobacco,tob
Manufacturing,man
Agricultural,agr
Credit,cre
Financial,fin
Hydrocarbon,hyd
