,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-5-24 08:00,08:00:00,08:00:57,1685,2117,16600,8,16605,10,16605,16610,16575,16585,529,-32,16585,8,16590,15
2016-5-24 08:01,08:01:02,08:01:59,2125,2564,16585,11,16590,29,16585,16585,16555,16575,527,-2,16570,13,16575,16
2016-5-24 08:02,08:02:00,08:02:42,2568,2747,16570,11,16575,16,16575,16585,16570,16575,144,-4,16570,23,16575,21
2016-5-24 08:03,08:03:00,08:03:50,2766,2893,16570,21,16575,16,16570,16580,16565,16575,91,13,16575,8,16580,22
2016-5-24 08:04,08:04:01,08:04:53,2910,3155,16575,12,16580,25,16575,16575,16545,16555,315,-151,16550,21,16555,19
2016-5-24 08:05,08:05:03,08:05:59,3163,3477,16550,22,16555,27,16550,16550,16540,16545,391,-74,16540,28,16545,2
2016-5-24 08:06,08:06:00,08:06:48,3480,3642,16540,28,16545,2,16545,16555,16540,16555,118,90,16550,21,16555,20
2016-5-24 08:07,08:07:00,08:07:42,3655,3847,16550,25,16555,21,16555,16570,16550,16560,160,40,16555,15,16560,7
2016-5-24 08:08,08:08:02,08:08:59,3873,4084,16555,21,16560,7,16560,16575,16560,16575,162,10,16570,25,16575,7
2016-5-24 08:09,08:09:02,08:09:57,4090,4278,16570,19,16575,14,16575,16575,16565,16575,174,-6,16575,12,16580,20
2016-5-24 08:10,08:10:01,08:10:59,4286,4627,16575,46,16580,14,16580,16585,16565,16565,384,120,16560,81,16565,37
2016-5-24 08:11,08:11:32,08:11:56,4659,4801,16560,73,16565,46,16560,16560,16550,16550,171,-107,16545,20,16550,18
2016-5-24 08:12,08:12:13,08:12:59,4828,4963,16545,22,16550,29,16545,16555,16545,16555,176,144,16550,90,16555,15
2016-5-24 08:13,08:13:00,08:13:49,4968,5131,16550,92,16555,32,16555,16555,16545,16555,140,-8,16550,22,16555,11
2016-5-24 08:14,08:14:02,08:14:55,5136,5282,16550,20,16555,14,16550,16555,16540,16540,141,-107,16535,23,16540,23
2016-5-24 08:15,08:15:01,08:15:59,5293,5678,16535,7,16540,29,16535,16535,16520,16530,477,35,16530,12,16535,31
2016-5-24 08:16,08:16:05,08:16:56,5685,5852,16530,10,16535,32,16530,16540,16530,16535,132,18,16535,8,16540,37
2016-5-24 08:17,08:17:22,08:17:44,5872,5943,16535,54,16540,27,16540,16540,16535,16535,83,-35,16530,31,16535,19
2016-5-24 08:18,08:18:02,08:18:58,5958,6128,16530,38,16535,9,16535,16535,16525,16525,175,-93,16525,17,16530,20
2016-5-24 08:19,08:19:00,08:19:57,6136,6531,16525,4,16530,40,16525,16525,16515,16515,628,-137,16510,30,16515,13
2016-5-24 08:20,08:20:04,08:20:58,6546,6869,16510,6,16515,36,16510,16520,16500,16520,319,-3,16520,19,16525,38
2016-5-24 08:21,08:21:00,08:21:52,6877,7005,16520,28,16525,17,16525,16530,16520,16525,90,-6,16525,3,16530,29
2016-5-24 08:22,08:22:10,08:22:59,7033,7233,16525,19,16530,26,16530,16530,16520,16525,174,-25,16520,25,16525,3
2016-5-24 08:23,08:23:01,08:23:51,7239,7359,16520,24,16525,13,16520,16520,16515,16515,65,-13,16510,28,16520,32
2016-5-24 08:24,08:24:04,08:24:59,7382,7552,16510,20,16515,23,16510,16515,16505,16510,90,-28,16510,4,16515,28
2016-5-24 08:25,08:25:03,08:25:51,7562,7777,16510,8,16515,28,16510,16515,16510,16515,204,-68,16510,25,16515,77
2016-5-24 08:26,08:26:09,08:26:57,7791,7907,16510,14,16515,87,16510,16510,16505,16505,138,-74,16505,6,16510,94
2016-5-24 08:27,08:27:06,08:27:53,7920,8548,16505,8,16510,94,16505,16540,16490,16530,882,350,16525,30,16530,10
2016-5-24 08:28,08:28:01,08:28:56,8563,8701,16525,13,16530,23,16525,16535,16525,16530,80,18,16530,18,16535,13
2016-5-24 08:29,08:29:07,08:29:58,8705,9095,16530,20,16535,18,16535,16570,16535,16555,462,312,16555,25,16560,22
2016-5-24 08:30,08:30:02,08:30:58,9102,9247,16555,18,16560,26,16555,16555,16545,16545,93,-29,16545,16,16550,30
2016-5-24 08:31,08:31:01,08:31:48,9252,9382,16545,17,16550,29,16545,16550,16535,16535,75,-37,16535,24,16540,7
2016-5-24 08:32,08:32:03,08:32:54,9391,9505,16535,26,16540,6,16540,16550,16535,16550,79,63,16550,9,16555,25
2016-5-24 08:33,08:33:03,08:33:58,9515,9634,16550,20,16555,23,16550,16550,16540,16545,93,-15,16540,23,16545,7
2016-5-24 08:34,08:34:05,08:34:36,9645,9673,16540,23,16545,5,16545,16545,16545,16545,11,-1,16540,23,16545,12
2016-5-24 08:35,08:35:01,08:35:56,9695,10085,16540,6,16545,28,16540,16565,16530,16560,430,43,16555,21,16560,6
2016-5-24 08:36,08:36:02,08:36:57,10092,10378,16555,21,16560,20,16560,16560,16550,16560,335,-105,16560,15,16565,33
2016-5-24 08:37,08:37:01,08:37:55,10382,10555,16560,19,16565,33,16560,16560,16555,16560,168,-64,16555,29,16560,6
2016-5-24 08:38,08:38:01,08:38:51,10565,10640,16555,10,16560,36,16555,16560,16555,16555,57,25,16555,22,16560,33
2016-5-24 08:39,08:39:05,08:39:30,10643,10706,16555,22,16560,33,16560,16560,16560,16560,54,52,16560,9,16565,37
2016-5-24 08:40,08:40:01,08:40:55,10726,10912,16560,26,16565,33,16560,16570,16560,16570,173,49,16565,21,16570,24
2016-5-24 08:41,08:41:01,08:41:57,10917,11192,16565,20,16570,29,16570,16580,16570,16580,255,43,16575,31,16580,13
2016-5-24 08:42,08:42:06,08:42:58,11203,11654,16575,33,16580,16,16580,16580,16550,16575,630,-281,16575,19,16580,16
2016-5-24 08:43,08:43:02,08:43:52,11659,11765,16575,19,16580,19,16575,16575,16570,16570,37,-11,16570,4,16575,32
2016-5-24 08:44,08:44:25,08:44:46,11796,11840,16565,22,16570,17,16565,16570,16565,16570,30,-6,16570,5,16575,26
2016-5-24 08:45,08:45:11,08:45:59,11866,11933,16570,22,16575,24,16570,16570,16565,16565,53,-28,16565,3,16570,22
