,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2017-01-26 08:00:00,08:00:00,08:00:59,2910,3572,19235.0,12,19240.0,61,19235.0,19245.0,19220.0,19225.0,743,-2,19220,48,19225,3
2017-01-26 08:01:00,08:01:00,08:01:58,3573,3813,19220.0,49,19230.0,41,19220.0,19235.0,19220.0,19235.0,233,11,19230,34,19235,33
2017-01-26 08:02:00,08:02:00,08:02:52,3818,4110,19230.0,30,19235.0,38,19235.0,19240.0,19230.0,19240.0,354,82,19235,44,19240,8
2017-01-26 08:03:00,08:03:00,08:03:58,4130,4293,19235.0,19,19240.0,30,19240.0,19245.0,19240.0,19240.0,153,-63,19240,15,19245,41
2017-01-26 08:04:00,08:04:02,08:04:54,4300,4578,19240.0,14,19245.0,41,19245.0,19245.0,19225.0,19235.0,266,-162,19230,38,19235,14
2017-01-26 08:05:00,08:05:01,08:05:55,4593,4803,19230.0,36,19235.0,31,19235.0,19240.0,19230.0,19235.0,218,-6,19230,42,19240,59
2017-01-26 08:06:00,08:06:00,08:06:56,4813,5040,19230.0,40,19235.0,26,19230.0,19235.0,19220.0,19220.0,172,-88,19220,44,19225,91
2017-01-26 08:07:00,08:07:05,08:07:59,5046,5324,19220.0,49,19225.0,91,19220.0,19235.0,19220.0,19230.0,382,152,19230,30,19235,31
2017-01-26 08:08:00,08:08:07,08:08:43,5332,5494,19230.0,34,19235.0,36,19230.0,19235.0,19230.0,19235.0,122,4,19235,52,19240,53
2017-01-26 08:09:00,08:09:08,08:09:59,5518,5723,19235.0,44,19240.0,33,19235.0,19235.0,19230.0,19230.0,271,-269,19230,11,19235,79
2017-01-26 08:10:00,08:10:00,08:10:59,5724,5981,19230.0,27,19235.0,77,19230.0,19235.0,19225.0,19230.0,275,-47,19230,32,19235,55
2017-01-26 08:11:00,08:11:02,08:11:41,5988,6157,19230.0,38,19235.0,52,19235.0,19235.0,19230.0,19230.0,143,-41,19230,6,19235,48
2017-01-26 08:12:00,08:12:13,08:12:59,6204,6514,19230.0,57,19235.0,33,19230.0,19245.0,19230.0,19245.0,380,185,19240,40,19245,37
2017-01-26 08:13:00,08:13:01,08:13:46,6524,6903,19240.0,39,19245.0,45,19245.0,19245.0,19230.0,19230.0,495,-297,19230,19,19235,50
2017-01-26 08:14:00,08:14:04,08:14:39,6922,7049,19230.0,37,19235.0,65,19230.0,19235.0,19230.0,19230.0,116,-78,19230,40,19235,74
2017-01-26 08:15:00,08:15:02,08:15:56,7067,7487,19230.0,48,19235.0,74,19235.0,19265.0,19230.0,19255.0,523,201,19255,8,19260,66
2017-01-26 08:16:00,08:16:01,08:16:59,7500,7857,19255.0,24,19260.0,66,19260.0,19265.0,19255.0,19260.0,384,12,19255,53,19260,15
2017-01-26 08:17:00,08:17:12,08:17:57,7872,8047,19255.0,69,19260.0,43,19255.0,19255.0,19255.0,19255.0,172,-128,19255,32,19260,105
2017-01-26 08:18:00,08:18:01,08:18:44,8052,8194,19255.0,37,19260.0,101,19260.0,19260.0,19250.0,19250.0,165,-135,19250,17,19255,60
2017-01-26 08:19:00,08:19:09,08:19:59,8222,8518,19250.0,69,19255.0,77,19250.0,19250.0,19245.0,19245.0,409,-128,19245,45,19245,36
2017-01-26 08:20:00,08:20:00,08:20:56,8520,9034,19245.0,45,19250.0,75,19245.0,19245.0,19225.0,19230.0,604,-96,19225,44,19230,47
2017-01-26 08:21:00,08:21:03,08:21:55,9051,9401,19225.0,47,19230.0,54,19225.0,19230.0,19220.0,19220.0,405,-119,19215,79,19220,18
2017-01-26 08:22:00,08:22:03,08:22:56,9420,9859,19215.0,77,19220.0,24,19220.0,19240.0,19220.0,19240.0,474,58,19240,36,19245,36
2017-01-26 08:23:00,08:23:02,08:23:56,9873,10094,19240.0,55,19245.0,38,19245.0,19250.0,19240.0,19250.0,207,3,19245,38,19250,52
2017-01-26 08:24:00,08:24:02,08:24:59,10103,10189,19245.0,40,19250.0,53,19245.0,19250.0,19245.0,19245.0,37,15,19245,69,19250,54
2017-01-26 08:25:00,08:25:04,08:25:41,10196,10429,19245.0,71,19250.0,50,19245.0,19250.0,19245.0,19245.0,255,-90,19245,14,19250,58
2017-01-26 08:26:00,08:26:02,08:26:57,10452,10727,19245.0,47,19250.0,57,19250.0,19260.0,19240.0,19245.0,347,-199,19245,16,19250,77
2017-01-26 08:27:00,08:27:01,08:27:58,10733,10970,19245.0,36,19250.0,69,19250.0,19270.0,19245.0,19270.0,180,156,19265,70,19270,38
2017-01-26 08:28:00,08:28:00,08:28:56,10975,11310,19265.0,71,19270.0,43,19265.0,19280.0,19265.0,19275.0,355,-19,19270,82,19275,8
2017-01-26 08:29:00,08:29:00,08:29:57,11318,11561,19270.0,82,19275.0,39,19270.0,19290.0,19270.0,19290.0,284,236,19285,48,19290,58
2017-01-26 08:30:00,08:30:00,08:30:56,11570,12066,19285.0,62,19290.0,54,19285.0,19300.0,19285.0,19300.0,579,213,19295,60,19300,60
2017-01-26 08:31:00,08:31:01,08:31:58,12074,12880,19295.0,62,19300.0,66,19295.0,19315.0,19295.0,19295.0,1217,161,19295,51,19300,48
2017-01-26 08:32:00,08:32:02,08:32:57,12890,13406,19295.0,59,19300.0,45,19300.0,19305.0,19285.0,19295.0,692,-21,19295,28,19300,55
2017-01-26 08:33:00,08:33:00,08:33:56,13414,13534,19295.0,39,19300.0,54,19295.0,19295.0,19290.0,19290.0,88,-58,19290,66,19295,60
2017-01-26 08:34:00,08:34:10,08:34:57,13553,13766,19290.0,50,19295.0,62,19295.0,19295.0,19285.0,19285.0,199,-107,19285,24,19290,75
2017-01-26 08:35:00,08:35:00,08:35:49,13770,13925,19285.0,25,19290.0,75,19290.0,19295.0,19285.0,19295.0,163,127,19290,32,19295,100
2017-01-26 08:36:00,08:36:02,08:36:58,13949,14041,19290.0,45,19295.0,112,19295.0,19300.0,19295.0,19300.0,133,115,19295,80,19300,60
2017-01-26 08:37:00,08:37:02,08:37:59,14049,14162,19295.0,81,19300.0,59,19300.0,19300.0,19295.0,19300.0,84,6,19295,82,19300,37
2017-01-26 08:38:00,08:38:09,08:38:51,14167,14302,19295.0,84,19300.0,39,19295.0,19300.0,19290.0,19290.0,116,-10,19290,94,19295,8
2017-01-26 08:39:00,08:39:08,08:39:57,14315,14519,19290.0,100,19295.0,17,19295.0,19300.0,19290.0,19295.0,220,-12,19295,55,19300,57
2017-01-26 08:40:00,08:40:00,08:40:58,14522,14868,19295.0,55,19300.0,57,19295.0,19310.0,19295.0,19305.0,452,14,19305,8,19310,54
2017-01-26 08:41:00,08:41:01,08:41:59,14872,15018,19305.0,18,19310.0,53,19305.0,19310.0,19300.0,19305.0,172,-78,19300,90,19305,21
2017-01-26 08:42:00,08:42:00,08:42:57,15021,15086,19300.0,90,19305.0,21,19305.0,19305.0,19300.0,19300.0,27,9,19300,97,19305,49
2017-01-26 08:43:00,08:43:04,08:43:58,15095,15313,19300.0,101,19305.0,40,19300.0,19310.0,19300.0,19310.0,233,55,19305,94,19310,25
2017-01-26 08:44:00,08:44:03,08:44:47,15324,15694,19305.0,107,19310.0,12,19310.0,19330.0,19310.0,19315.0,457,199,19310,96,19315,44
2017-01-26 08:45:00,08:45:02,08:45:59,15712,15877,19310.0,104,19315.0,57,19315.0,19320.0,19310.0,19315.0,145,83,19315,4,19320,58
2017-01-26 08:46:00,08:46:00,08:46:56,15881,16096,19315.0,13,19320.0,58,19315.0,19315.0,19300.0,19310.0,253,-142,19305,66,19310,50
2017-01-26 08:47:00,08:47:00,08:47:59,16102,16255,19305.0,66,19310.0,50,19310.0,19310.0,19300.0,19305.0,164,-11,19300,72,19310,78
2017-01-26 08:48:00,08:48:13,08:48:58,16277,16374,19305.0,18,19310.0,79,19305.0,19310.0,19300.0,19300.0,66,16,19300,58,19305,46
2017-01-26 08:49:00,08:49:02,08:49:59,16378,16590,19300.0,58,19305.0,50,19300.0,19305.0,19300.0,19300.0,227,-179,19300,28,19305,72
2017-01-26 08:50:00,08:50:09,08:50:50,16608,16734,19300.0,63,19305.0,74,19305.0,19305.0,19300.0,19305.0,125,-5,19300,59,19305,51
2017-01-26 08:51:00,08:51:00,08:51:58,16743,16969,19300.0,59,19305.0,56,19305.0,19310.0,19300.0,19300.0,212,-63,19300,26,19305,67
2017-01-26 08:52:00,08:52:09,08:52:41,16982,17058,19300.0,12,19305.0,72,19300.0,19305.0,19300.0,19305.0,50,-37,19300,32,19305,65
2017-01-26 08:53:00,08:53:01,08:53:50,17071,17237,19300.0,32,19305.0,67,19305.0,19305.0,19300.0,19305.0,130,79,19300,69,19305,12
2017-01-26 08:54:00,08:54:02,08:54:59,17258,17450,19300.0,63,19305.0,23,19305.0,19305.0,19285.0,19285.0,142,-120,19285,42,19290,53
2017-01-26 08:55:00,08:55:07,08:55:54,17468,17736,19285.0,46,19290.0,54,19290.0,19290.0,19275.0,19280.0,295,-3,19280,59,19285,101
2017-01-26 08:56:00,08:56:08,08:56:58,17746,17929,19280.0,41,19285.0,106,19285.0,19290.0,19280.0,19290.0,181,141,19285,61,19290,19
2017-01-26 08:57:00,08:57:01,08:57:59,17935,18149,19285.0,61,19290.0,11,19290.0,19290.0,19275.0,19280.0,218,-174,19280,34,19285,42
2017-01-26 08:58:00,08:58:10,08:58:52,18169,18319,19280.0,32,19285.0,45,19285.0,19285.0,19275.0,19280.0,164,124,19275,59,19285,67
