,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2017-02-22 08:00:00,08:00:00,08:00:58,1876,2737,19420.0,40,19425.0,40,19425.0,19425.0,19390.0,19400.0,1289,-407,19400,11,19405,39
2017-02-22 08:01:00,08:01:00,08:01:54,2742,3082,19400.0,10,19405.0,34,19400.0,19400.0,19390.0,19395.0,510,262,19395,47,19400,34
2017-02-22 08:02:00,08:02:00,08:02:55,3094,3291,19395.0,56,19400.0,44,19395.0,19400.0,19395.0,19395.0,225,207,19395,48,19400,24
2017-02-22 08:03:00,08:03:00,08:03:44,3295,3476,19395.0,48,19400.0,8,19400.0,19410.0,19400.0,19400.0,175,129,19400,39,19405,34
2017-02-22 08:04:00,08:04:04,08:04:34,3498,3686,19400.0,44,19405.0,35,19400.0,19400.0,19390.0,19390.0,284,-59,19390,49,19395,58
2017-02-22 08:05:00,08:05:03,08:05:46,3702,3879,19390.0,49,19395.0,84,19395.0,19395.0,19390.0,19395.0,268,-112,19390,55,19395,48
2017-02-22 08:06:00,08:06:00,08:06:44,3893,4159,19390.0,53,19395.0,57,19390.0,19400.0,19390.0,19400.0,434,288,19395,36,19400,35
2017-02-22 08:07:00,08:07:10,08:07:57,4184,4358,19395.0,24,19400.0,48,19395.0,19400.0,19390.0,19395.0,213,89,19395,26,19400,35
2017-02-22 08:08:00,08:08:00,08:08:56,4366,4634,19395.0,14,19400.0,42,19395.0,19410.0,19395.0,19405.0,291,199,19405,6,19410,48
2017-02-22 08:09:00,08:09:02,08:09:54,4650,5163,19405.0,21,19410.0,41,19410.0,19410.0,19380.0,19385.0,732,-355,19380,32,19385,28
2017-02-22 08:10:00,08:10:00,08:10:59,5172,5609,19380.0,27,19385.0,31,19380.0,19385.0,19370.0,19380.0,542,254,19375,35,19380,20
2017-02-22 08:11:00,08:11:01,08:11:51,5617,5746,19375.0,30,19380.0,22,19380.0,19380.0,19380.0,19380.0,109,109,19375,33,19380,4
2017-02-22 08:12:00,08:12:14,08:12:57,5774,5929,19375.0,26,19380.0,48,19375.0,19375.0,19370.0,19375.0,161,45,19370,33,19375,23
2017-02-22 08:13:00,08:13:16,08:13:57,5952,6016,19370.0,31,19375.0,26,19375.0,19380.0,19370.0,19370.0,56,14,19370,30,19375,38
2017-02-22 08:14:00,08:14:05,08:14:59,6024,6275,19370.0,31,19375.0,41,19370.0,19370.0,19360.0,19365.0,241,-83,19365,38,19370,46
2017-02-22 08:15:00,08:15:17,08:15:59,6298,6503,19365.0,81,19370.0,43,19370.0,19370.0,19360.0,19370.0,259,-7,19365,38,19370,2
2017-02-22 08:16:00,08:16:26,08:16:26,6533,6558,19365.0,40,19370.0,22,19365.0,19370.0,19365.0,19370.0,31,-29,19365,29,19370,25
2017-02-22 08:17:00,08:17:20,08:17:55,6603,6724,19365.0,40,19370.0,22,19365.0,19370.0,19365.0,19365.0,149,79,19365,24,19370,44
2017-02-22 08:18:00,08:18:01,08:18:58,6732,6836,19365.0,19,19370.0,51,19365.0,19375.0,19365.0,19370.0,142,66,19370,16,19375,45
2017-02-22 08:19:00,08:19:21,08:19:45,6852,6868,19365.0,59,19370.0,36,19370.0,19370.0,19365.0,19365.0,17,15,19365,62,19370,24
2017-02-22 08:20:00,08:20:00,08:20:54,6873,7190,19365.0,63,19370.0,30,19365.0,19365.0,19350.0,19355.0,433,-151,19355,42,19360,65
2017-02-22 08:21:00,08:21:00,08:21:59,7198,7345,19355.0,45,19360.0,64,19355.0,19355.0,19350.0,19355.0,119,-39,19355,16,19360,114
2017-02-22 08:22:00,08:22:01,08:22:53,7348,7432,19355.0,16,19360.0,114,19355.0,19365.0,19355.0,19365.0,82,62,19360,44,19365,99
2017-02-22 08:23:00,08:23:04,08:23:51,7436,7760,19360.0,45,19365.0,100,19360.0,19370.0,19345.0,19345.0,494,-185,19345,27,19350,32
2017-02-22 08:24:00,08:24:03,08:24:48,7783,7969,19345.0,51,19350.0,27,19350.0,19360.0,19350.0,19360.0,175,133,19355,51,19360,11
2017-02-22 08:25:00,08:25:14,08:25:56,8005,8484,19355.0,104,19360.0,23,19360.0,19370.0,19345.0,19345.0,668,-374,19340,45,19345,20
2017-02-22 08:26:00,08:26:02,08:26:33,8495,8670,19340.0,39,19345.0,57,19345.0,19355.0,19345.0,19355.0,231,31,19350,36,19355,10
2017-02-22 08:27:00,08:27:01,08:27:20,8705,8759,19350.0,32,19355.0,11,19350.0,19360.0,19350.0,19360.0,35,33,19355,20,19360,5
2017-02-22 08:28:00,08:28:04,08:28:37,8792,8863,19355.0,20,19360.0,37,19355.0,19355.0,19355.0,19355.0,74,-46,19350,75,19355,32
2017-02-22 08:29:00,08:29:14,08:29:48,8877,8971,19350.0,74,19355.0,41,19355.0,19355.0,19355.0,19355.0,96,18,19350,76,19360,43
2017-02-22 08:30:00,08:30:23,08:30:52,9014,9153,19355.0,33,19360.0,56,19360.0,19360.0,19355.0,19355.0,125,-5,19350,80,19360,27
2017-02-22 08:31:00,08:31:05,08:31:42,9161,9232,19350.0,80,19355.0,8,19350.0,19355.0,19350.0,19355.0,26,2,19355,7,19360,29
2017-02-22 08:32:00,08:32:02,08:32:46,9245,9373,19355.0,28,19360.0,20,19360.0,19365.0,19360.0,19365.0,112,74,19360,41,19365,26
2017-02-22 08:33:00,08:33:00,08:33:40,9377,9476,19360.0,41,19365.0,28,19360.0,19370.0,19360.0,19365.0,50,-18,19365,29,19370,36
2017-02-22 08:34:00,08:34:14,08:34:57,9491,9841,19365.0,38,19370.0,39,19370.0,19395.0,19365.0,19390.0,487,429,19390,16,19395,41
2017-02-22 08:35:00,08:35:11,08:35:59,9859,10174,19390.0,34,19395.0,43,19390.0,19395.0,19375.0,19380.0,346,-8,19380,39,19390,30
2017-02-22 08:36:00,08:36:00,08:36:59,10176,10367,19380.0,39,19385.0,21,19385.0,19395.0,19385.0,19385.0,200,-2,19385,13,19390,29
2017-02-22 08:37:00,08:37:01,08:37:38,10373,10422,19385.0,18,19390.0,29,19390.0,19390.0,19385.0,19385.0,15,7,19385,70,19390,33
2017-02-22 08:38:00,08:38:07,08:38:33,10432,10564,19385.0,71,19390.0,34,19385.0,19390.0,19385.0,19390.0,175,43,19385,32,19390,9
2017-02-22 08:39:00,08:39:05,08:39:45,10600,10667,19385.0,22,19390.0,34,19390.0,19390.0,19385.0,19390.0,48,-18,19385,14,19390,26
2017-02-22 08:40:00,08:40:06,08:40:55,10680,10767,19385.0,24,19390.0,35,19385.0,19390.0,19385.0,19385.0,56,18,19385,38,19390,30
2017-02-22 08:41:00,08:41:17,08:41:45,10793,10892,19385.0,12,19390.0,44,19385.0,19390.0,19385.0,19385.0,89,35,19385,30,19390,29
2017-02-22 08:42:00,08:42:00,08:42:59,10908,11076,19385.0,37,19390.0,26,19390.0,19395.0,19385.0,19385.0,171,-3,19380,35,19385,19
2017-02-22 08:43:00,08:43:02,08:43:58,11081,11237,19380.0,34,19385.0,23,19385.0,19390.0,19385.0,19390.0,172,-19,19385,32,19390,24
2017-02-22 08:44:00,08:44:07,08:44:51,11246,11308,19385.0,38,19390.0,25,19390.0,19390.0,19385.0,19385.0,48,8,19385,25,19390,43
2017-02-22 08:45:00,08:45:02,08:45:51,11316,11456,19385.0,20,19390.0,46,19385.0,19385.0,19370.0,19375.0,138,-76,19375,32,19380,67
2017-02-22 08:46:00,08:46:06,08:46:49,11465,11552,19375.0,32,19380.0,67,19375.0,19380.0,19375.0,19380.0,74,-12,19375,29,19380,18
2017-02-22 08:47:00,08:47:04,08:47:38,11564,11582,19375.0,25,19380.0,28,19380.0,19380.0,19375.0,19375.0,6,-2,19375,22,19380,34
2017-02-22 08:48:00,08:48:08,08:48:55,11598,11693,19375.0,20,19380.0,37,19375.0,19390.0,19375.0,19390.0,86,70,19385,55,19390,20
2017-02-22 08:49:00,08:49:09,08:49:58,11710,11824,19385.0,54,19390.0,35,19385.0,19390.0,19385.0,19385.0,105,91,19385,41,19390,37
2017-02-22 08:50:00,08:50:42,08:50:58,11846,11910,19385.0,43,19390.0,80,19390.0,19395.0,19390.0,19395.0,66,42,19395,24,19400,54
2017-02-22 08:51:00,08:51:19,08:51:59,11927,12063,19395.0,28,19400.0,60,19395.0,19395.0,19385.0,19390.0,164,-38,19390,29,19395,40
2017-02-22 08:52:00,08:52:00,08:52:31,12069,12145,19390.0,20,19395.0,46,19390.0,19395.0,19390.0,19395.0,59,17,19390,36,19400,66
2017-02-22 08:53:00,08:53:05,08:53:15,12162,12207,19390.0,16,19395.0,39,19390.0,19390.0,19390.0,19390.0,45,-36,19390,25,19395,26
2017-02-22 08:54:00,08:54:04,08:54:59,12247,12351,19390.0,39,19395.0,31,19390.0,19395.0,19390.0,19395.0,89,5,19395,22,19400,63
2017-02-22 08:55:00,08:55:00,08:55:44,12356,12526,19395.0,15,19400.0,64,19400.0,19400.0,19390.0,19395.0,195,53,19395,24,19400,36
2017-02-22 08:56:00,08:56:10,08:56:41,12546,12621,19395.0,36,19400.0,37,19395.0,19405.0,19395.0,19405.0,118,40,19400,31,19405,32
2017-02-22 08:57:00,08:57:02,08:57:45,12635,12769,19400.0,29,19405.0,37,19400.0,19400.0,19395.0,19395.0,138,-126,19395,26,19400,51
2017-02-22 08:58:00,08:58:08,08:58:59,12784,12936,19395.0,10,19400.0,53,19395.0,19395.0,19390.0,19390.0,148,-96,19385,55,19395,40
2017-02-22 08:59:00,08:59:28,08:59:50,12950,12962,19385.0,50,19390.0,38,19390.0,19390.0,19385.0,19385.0,4,-2,19385,44,19390,45
2017-02-22 09:00:00,09:00:04,09:00:39,12969,13077,19385.0,43,19390.0,44,19385.0,19385.0,19385.0,19385.0,85,-39,19385,30,19390,36
2017-02-22 09:01:00,09:01:28,09:01:28,13109,13109,19385.0,28,19390.0,41,19385.0,19385.0,19385.0,19385.0,3,-3,19385,22,19390,42
2017-02-22 09:02:00,09:02:06,09:02:51,13127,13204,19385.0,31,19390.0,43,19385.0,19385.0,19380.0,19385.0,44,-42,19380,51,19385,38
